Age,Country,Average Finish Position,Behind Winner,Races Won,Total Races,Win%
6,NZ,7.644736842105263,5.550657894736841,5.0,76,0.06578947368421052
6,USA,8.25,5.9375,0.0,4,0.0
7,AUS,7.0,4.972222222222222,0.0,18,0.0
7,FR,8.666666666666666,6.166666666666667,0.0,3,0.0
7,GB,6.833333333333333,6.375,0.0,6,0.0
7,IRE,7.277777777777778,5.458333333333333,0.0,18,0.0
7,NZ,9.1875,6.859375,0.0,16,0.0
7,USA,8.666666666666666,7.083333333333333,0.0,6,0.0
8,AUS,10.714285714285714,7.678571428571429,0.0,7,0.0
8,NZ,12.0,10.25,0.0,3,0.0
2,AUS,6.941787941787942,6.974324324324321,55.0,481,0.11434511434511435
2,GER,7.0,7.1875,1.0,4,0.25
2,NZ,8.26936026936027,6.818350168350168,13.0,297,0.04377104377104377
2,SAF,8.0,7.125,1.0,6,0.16666666666666666
3,ARG,5.6,3.45,0.0,5,0.0
3,AUS,6.168269230769231,4.291895604395602,172.0,1456,0.11813186813186813
3,FR,8.188888888888888,6.385,3.0,90,0.03333333333333333
3,GB,8.249266862170089,9.148240469208211,16.0,341,0.0469208211143695
3,GER,6.245614035087719,4.242105263157895,2.0,57,0.03508771929824561
3,IRE,7.8861940298507465,6.0731343283582095,32.0,536,0.05970149253731343
3,ITY,8.272727272727273,5.670454545454546,1.0,22,0.045454545454545456
3,NZ,6.5482625482625485,4.430984555984555,107.0,1036,0.10328185328185328
3,SAF,6.343283582089552,3.719402985074627,5.0,67,0.07462686567164178
3,SPA,13.0,12.125,0.0,2,0.0
3,USA,6.685393258426966,4.915730337078652,9.0,89,0.10112359550561797
4,ARG,7.0,3.2857142857142856,0.0,7,0.0
4,AUS,6.076470588235294,4.176294117647059,85.0,850,0.1
4,FR,7.229166666666667,6.449479166666666,10.0,96,0.10416666666666667
4,GB,6.068452380952381,3.9828869047619047,37.0,336,0.11011904761904762
4,GER,5.2,3.03,3.0,25,0.12
4,IRE,6.059033989266547,4.0140429338103765,52.0,559,0.09302325581395349
4,ITY,8.222222222222221,4.555555555555555,0.0,9,0.0
4,NZ,6.190798376184032,4.113734776725305,71.0,739,0.09607577807848444
4,SAF,8.0,5.296875,2.0,32,0.0625
4,USA,6.641025641025641,4.705128205128205,10.0,78,0.1282051282051282
5,ARG,10.0,9.0,0.0,2,0.0
5,AUS,6.349869451697128,4.436814621409922,29.0,383,0.07571801566579635
5,FR,8.307692307692308,5.748076923076923,0.0,26,0.0
5,GB,6.181818181818182,4.086363636363636,24.0,198,0.12121212121212122
5,GER,8.181818181818182,11.159090909090908,0.0,11,0.0
5,IRE,6.561594202898551,4.553985507246377,22.0,276,0.07971014492753623
5,ITY,8.833333333333334,7.125,0.0,6,0.0
5,NZ,7.036939313984169,4.79155672823219,26.0,379,0.06860158311345646
5,SAF,9.222222222222221,7.666666666666667,0.0,9,0.0
5,USA,6.867924528301887,5.50754716981132,3.0,53,0.05660377358490566
6,AUS,7.783068783068783,5.752910052910052,5.0,189,0.026455026455026454
6,FR,6.0625,3.578125,2.0,16,0.125
6,GB,7.601503759398496,4.963533834586466,4.0,133,0.03007518796992481
6,GER,7.2,4.95,0.0,5,0.0
6,IRE,6.598039215686274,4.379411764705883,6.0,102,0.058823529411764705
6,NZ,8.023255813953488,5.724418604651163,9.0,129,0.06976744186046512
6,USA,7.151515151515151,5.96969696969697,0.0,33,0.0
7,AUS,7.448979591836735,5.681632653061224,1.0,49,0.02040816326530612
7,FR,6.428571428571429,3.642857142857143,0.0,7,0.0
7,GB,8.791666666666666,5.697916666666667,0.0,24,0.0
7,IRE,7.2555555555555555,4.96,2.0,90,0.022222222222222223
7,NZ,7.388888888888889,5.222222222222222,2.0,36,0.05555555555555555
7,USA,7.260869565217392,4.858695652173913,0.0,23,0.0
8,AUS,8.5,4.928571428571429,0.0,14,0.0
8,FR,6.666666666666667,3.9166666666666665,0.0,3,0.0
8,GB,7.25,3.6875,0.0,4,0.0
